star_score,score_reple,writer_id,write_date
10,랜스 월터 캐릭터들도 진짜 졸귀탱이고 스타일리쉬한 영화! 설연휴에 보면 딱일 듯 강추!,나이스바디(sei2****),2020.01.22 13:26
10,월터 가 세상을 구하는 방식에 마음 따뜻해지는 힐링무비 새해 밝은 에너지 뿜뿜!,양꼬치엔칭따오(gse4****),2020.01.22 13:20
10,누구와 봐도 재밌을 영화 ~,다마스택배(cpli****),2020.01.22 13:20
10,진심 꿀잼 보장ㅋㅋㅋ,gmail(uof2****),2020.01.22 12:31
8,웃음이 나오긴 하는데 헛웃음도 가끔 섞여 나온다. 애매한 진지함을 아예 빼고 개그로 쭉 밀고나가는 게 더 좋지 않았을까 생각해 본다.,솔부엉이(ujur****),2020.01.22 11:36
10,아이부터 어른까지 100% 만족할 수 있는 영화! 디즈니 애니메이션답게 웃음과 감동 찐이다ㅋㅋㅋ 친구랑 또 N차 기기!!!,dday****,2020.01.22 11:14
10,개꿀따리잼인데?? N차각,꽁끼(bamb****),2020.01.22 11:04
10,내일 보러간다 근데 왜 이리 상영관이 적냐 한국영화는 존시나 많은데 스크린쿼터 쩌내,juns****,2020.01.22 20:41
10,"OST와 연출, 스토리가 마음에 들었음 :-)",잊애원(ggez****),2020.01.22 19:56
10,숨돌릴틈엎ㅅ이 재밌네~~,아름다운(kjkl****),2020.01.22 16:41
10,진짜 모든 게 재밌어요. 이거 평점 낮게주면 사람 아님ㅋㅋ. 최근 본 영화 중에 제일 재밌는 거 같아요. 개연성 내용 교훈까지 모든 게 완벽해요.,MEY(iris****),2020.01.22 16:12
10,새로운 액션이 왔다!! 스파이 지니어스~~,maid(t2lq****),2020.01.22 15:20
10,"윌스미스, 톰홀랜드 목소리 때문에 더 재밌게 본 것 같아요",가카(zbdt****),2020.01.22 15:17
10,첩보애니는 처음이라 신선 ㅋ,Ja(ecti****),2020.01.22 14:29
10,근래에 본 영화중에 제일 괜찮았음. 터져야할 곳에서 팡팡 터지는게 시원한 영화,daye****,2020.01.23 14:50
10,코믹적인 부분과 감동적인 부분이 적절하게 섞여있어서 재밌었어요~어른과 아이들도 다 재미있게 볼수있을것 같아요,일루미(miru****),2020.01.23 14:48
9,상상도 못한 스토리.. 새들 너무 귀엽네요. 아이들뿐만 아니라 어른들도 재밌게 볼 수 있어요.,자수정(hh00****),2020.01.23 14:25
7,"전체관람가라 7살 아이와 어제 갔다가 타이틀 화면 뜨기 전에 나왔어요. 영화 시작하고 10분이 안 되었을 때... 야쿠자, 칼 등등 너무 자극적이더라구요. 영화는 잘 만들고 어른이 보면 재미있을 듯 하나, 7세 아이...",홀릭(gho7****),2020.01.23 14:25
10,실사영화 본 느낌이고 ost 개신남ㅋㅋ,Khana(hana****),2020.01.23 12:07
5,초반 톰 홀랜드의 캐릭터가 너무 답답하다.어린이들은 충분히 좋아할듯,눈이아파(5228****),2020.01.22 22:58
10,영시 디즈니 역시 윌스미스. 상영관 좀 늘려주세요!!,Bageloo(phu8****),2020.01.22 20:44
10,나는 분명 자막판을 보고있는데 귀에서 한국어 가 들리는 신기한 영화 깨알 포인트들 너무 웃김ㅋㅋㅋ,www(lxho****),2020.01.22 19:07
10,"킬리언 예쁘다 섹시하다, 솔직히 스파이물은 빌런 보는 맛으로 보러가지 헼",검정검정(rlax****),2020.01.22 19:03
10,아름다운 CG의 영상미와 OST 갖춘 코미디 첩보 애니메이션. 심지어 순수하기까지하다. 종합선물세트.,meonwhiteboard(jsbi****),2020.01.22 18:18
10,,soli(bs22****),2020.01.22 18:11
10,꿀잼입니당ㅅ오ㅗ오어옹,재우임(dlaw****),2020.01.22 17:04
10,애니메이션 별로 안좋아하는데 이건 너무 재밌게 봄 ㅜㅜ,수줍은 나의 고백(5958****),2020.01.22 13:18
10,최근 본 애니메이션 영화중 최고예요 요즘 이정도로 웃긴 영화 찾기 힘들듯 ㅋㅋ 믿고 보는 윌스미스 웃음 폭탄,박세미(hell****),2020.01.22 12:40
10,오프닝 음악이랑 액션씬부터 빵빵하게 터져주더니 따뜻한 에너지 뿜뿜한 월터 의 발명품들까지 너무 좋았다,쏘르(awjl****),2020.01.22 12:31
10,윌스미스와 톰홀랜드의 꿀조합!!,q2np****,2020.01.22 12:30
10,솔직히 수작!!! 은 아니어도 킬링타임용으로 최고 유치한내용인데도 자꾸 웃음나온다,누룬지(ctj6****),2020.01.22 12:11
9,역시 디즈니 애니메이션. 윌 스미스 톰 홀랜드 싱크로율 미쳤구 너무 재밌다! 설에 온가족이 보러가도 좋을듯,dm(iam_****),2020.01.22 11:13
10,애니 영화 치고는 정말 재밌네요.,김준성(harr****),2020.01.22 11:05
9,꿀잼ㅋㅋㅋ서울의 열정 뭐임ㅋㅋㅋ,박수란(worl****),2020.01.22 23:52
10,"애니메이션 치고 액션장면도 꽤 좋았고, 그냥 캐릭터 자체가 완전 윌 스미스, 톰 홀랜드ㅋㅋ 중간중간 윌터의 한국문화 사랑도 웃기고 반가움ㅋㅋ",whgm****,2020.01.22 22:36
10,개인적으로는 8.5인데.. 아이들이 10점주래서.. 아이들 점수도 가산합니다. 스파이 비둘기로 변한 것이 재일 재미있는 상상이라네요. 겨울왕국보다는 재미있고.. 날씨의 아이보다는 조금 못하다고 하네요. 그래도 가족들...,Dio(savu****),2020.01.23 16:19
8,만화치고 스케일이 엄청납니다 윌스미스 목소리도 좋아요 team weird! 그리고 얼마나 한국어가 반가운지 ♡,영어조아한(ysha****),2020.01.23 16:17
10,꼭보시길끝나고기립박수치고싶은영화는처음이었어??느,isn(isn4****),2020.01.23 15:58
10,ㄹㅇ 이게 애니화인지 그냥 배우 갖다쓴건지 애매한정도로 케미가 좋았다,솜팡(hanj****),2020.01.23 15:46
