star_score,score_reple,writer_id,write_date
10,이성민 아저씨는 정말 연기꾼이신듯. 가족과 함께 보기에 굿굿굿,ssva****,2020.01.22 11:44
10,저는 고딩이라서 그런건진 모르겠지만 엄청 재밌게 봤는데 안 좋게 보신 분들이 꽤나 많은거 같네요 제 생각이 단순 유치한건진 몰라도 저에게는 인생 영화가 될 정도로 재밌었습니다 !,A7케이(kec8****),2020.01.22 23:53
9,솔직히 왤케 각박하게 주신지몰겠으나.. 해치지않아보다도 잼났는데.. 물론 유치하다고볼수있지만 예고편보면 그정도는 감안하고 보는거아닌가요??;; 헤치지않아는 솔직히 웃긴장면거진다 예고편에 나왔어서 크게 웃긴부분하나빼고...,pka9****,2020.01.23 00:15
10,반려견 주인으로써 저는 재미잇게봤어요,로즈베리(ilov****),2020.01.23 00:01
9,신하균ㅋㅋ 목소리만으로도 독보적이다 존재감 최고였어 ㅋㅋ,코코(79wj****),2020.01.23 02:24
10,"이상한 동물 cg였어도 동물들이 귀여워서 나름 볼만했어요. 중간중간 아는 목소리가 나올때 반갑기도 했고 음, 어른들끼린 말구 아이들이랑 같이 보기엔 좋은것 같아요.",ㅊㅅㅎ(tngi****),2020.01.22 23:05
10,너무 재밌다 두번 보고 싶은 영화,뚱빠(gnem****),2020.01.22 23:41
9,소소한 재미와 감동이~^^,사진진(drtg****),2020.01.23 09:41
10,단순해서 마음에 드는 영화임 가족영화로 강추함,노보바(phus****),2020.01.23 09:40
10,코믹인줄  알고  봤는데감동까지 ~~~울집  강아지랑도  저렇게  말이 통하면  얼마나  좋을까하면서  본 거  같아요,키친안다미로(elwl****),2020.01.22 23:12
10,웃기기만할줄 알았는데 감동ㅜㅠ 영화보구 힐링받구 왔어요ㅜㅠ 이 영화 넘 따뜻하쟈나,미셸(jihy****),2020.01.22 12:57
10,감동과 재미 그리고 동물들과의 교감의 감동이 아직도 가슴에 남아있네요  따뜻한 영화였습니다 특히 알리때문에 다시보고 싶어지네요,kyyh****,2020.01.23 01:28
10,배우분들의 새로운 모습들을 봐서 좋았던 영화! 강아지도 연기 좋네요ㅋㅋㅋ,쁑(eagr****),2020.01.23 09:39
1,인생 통들어 이렇게 재미없는 영화는 처음입니다 너무 뻔하고 유치한 전개에 배정남님 캐릭터는 대체 왜 있는건지 코믹요소를 넣으려고 한 거 같은데 전혀 웃기지도 않고 최악입니다,짐(vjim****),2020.01.22 12:01
10,미스터주가 재밌으면 추천남산의부장들이 재밌으면 비추천 부탁드러요,손민성(sms0****),2020.01.22 14:05
10,볼만했습니다.  많은 분들에게 추천드립니다.,rokh****,2020.01.23 08:56
10,웃음 재미 감동 다 잡았어요,이유희(gala****),2020.01.23 09:40
10,난 개인적으로재밌었는데,dlscjs(kore****),2020.01.23 09:22
10,어제 우리 초딩 아들들이랑 재미있게 봤습니다.가족들과 즐겁게 관람하기 좋습니다.,star****,2020.01.23 09:03
9,착한 장면들이 많아 힐링하는 기분~~,주차란(xkoz****),2020.01.23 09:39
3,와... CG 실화인가요 모든게 어색해서 도저히 집중을 할 수 가 없었어요. 배우들의 연기는 좋았지만 동물들과 대화를 한다는 소재에서 동물들의 표현을...이렇게 해버리면...,안녕하세요(qkre****),2020.01.22 13:02
1,진짜 돈도 시간도 모두가 아까운 영화였다. 너무 노잼이라 할말이 없었다. 처음부터 끝까지 너무 어이가 없어서 실토만 나왔다. 그게 감독의 목적이였으면 니가 이겼다. 18,RE비(cet4****),2020.01.22 17:24
1,연출 개연성 CG 감독의 역량까지 상당한 수준입니다연기잘하시는 배우분들이 자괴감이 느껴지고 어색함이 느껴지는 연출이였습니다,zidbsghzi(jsd7****),2020.01.22 16:44
