star_score,score_reple,writer_id,write_date
1,"어우 진짜 이건 아님.. 제발.. 리뷰에 왜 이렇게 평점이 좋은지 모르겠지만 정말 리뷰에 속지 맙시다 오늘부터 리뷰 안볼 거에요 ㅠ ,, 배우님들 연기도 좋고 라인업도 좋은데 진짜로 별로임 영화는.. 죄송합니다",이주윤(litt****),2020.01.15 12:51
3,누구도 해치지 않아서 착하고 따뜻하지만 그래서 심심하고 별 볼일 없어짐. 유머센스는 괜찮았지만 무거운 문제를 던져놓고 풀어나가는 건 어설프기 짝이없음.,이상민(nom2****),2020.01.15 12:02
1,허허 시간가는줄 알고봤습니다.,qwe(qwer****),2020.01.15 10:12
1,2시간 짜리 영화인데 시작하고 1시간은 무표정으로 보다가 10분정도 흥미진진 해졌네요.그 이후 고구마 물 없이 먹은 것처럼 답답했어요.돈과 시간을 허공에 날리고 싶은 분께 추천할게요.,웃는애(qugn****),2020.01.15 19:52
1,재홍이형한텐미안한데 나이거 조조로보고왓거든...  이건아니다 미안해진짜형,히피아(whdt****),2020.01.15 10:07
4,알바생들 진짜 양심팔고 그러지마라 개봉첫날 기다렸다봤는데 남편은 자고 나는 재홍이한테 실망했다 우리의 시간과 감정과 돈을 해쳤다,콩콩이(alic****),2020.01.15 21:11
1,11시꺼로 보고왔는데 참담하다.. 까만코 CG는 진짜최악이고 초중반에 웃긴요소있긴한데 중후반 조져놨더라.. 결말보면 어이가없다..,혜스트(elll****),2020.01.15 16:09
2,진짜 광고에서 보여주는 웃음이 끝. 코믹영화라기엔 부족하고 스토리도 겉만 있는 영화,참가자미(lsj0****),2020.01.15 19:04
10,배우분들 스탭분들 감독님 수고많으셨습니다동물원은 사람이 아니라 동물이 주인공입니다쓰레기 던지지마세요 열받아요,새나(wjdg****),2020.01.15 22:46
10,"리뷰 갈려서 고민했는데, 전 재밌게 봤습니다~ 가볍게 보기 좋은 영화인데 혹평들이 안타까워서 10점 드립니다.",Dknfjek(cf_s****),2020.01.16 13:36
10,마음 따뜻해지는 코미디였다. 오랜만에 만난 착한 코미디재밌는데 왜 사람들 재미없다하는지 모르겠네;;,endo****,2020.01.16 15:18
8,평이 왜 안좋음?이정도면 괜찮지 않음? ㅋ내 눈이 낮아진건가사람들 눈이 엄청 높아진건가아카데미 작품상  받을영화 아니면 썩 괜찮은 영화같은데메세지도 좋고아이들에게도 좋고,꿈트리(ggum****),2020.01.16 15:51
10,초등5학년 2학년아이들과 봤어요가볍게 웃을수 있어서 즐겁게  잘봤어요얘들도 잼있었다고 하네요웃기다가 뒤에 눈물짜는거 싫어하는데  눈물안짜도 되서 좋았어요,juj2****,2020.01.15 13:30
10,"오랜 시간 기다려온, 불편하지도 불쾌하지도 않은 착한 코미디. 낯설 수는 있으나 미워할 수는 없는 영화. 명절에 가족과 한번 더 볼 예정.",abcd****,2020.01.16 13:05
10,실컷 웃고 나왔는데 생각해볼거리도 있는 영화였어요!! 저는 됩니닼ㅋㅋ이거자꾸 생각나요ㅋㅋ 됩니다 이영화!!!,asdfgh(mike****),2020.01.16 15:26
10,고릴라가 너무 웃겼어요 ㅠㅠ 아 진짜 간만에 이런영화 좋았습니다. 혼자봤는데 친구들이랑 같이 봤으면 더 좋았을거 같아요..ㅎㅎ,clic****,2020.01.16 13:34
1,와...진심 별루 돈낭비한느낌 노잼,우현승(gags****),2020.01.16 00:38
2,그 배우들을 데리고 이 정도로 만들다니 ㅠㅠ진짜 해치고 싶네요 ㅠㅠ,adag****,2020.01.16 00:50
2,"진짜 재미없음요 보는데 시간,돈  아까웠어요",타이어명가(sys8****),2020.01.16 23:06
10,착하지만 기발한 코미디. 손재곤 감독 특유의 감각이 무척이나 반갑다.,루저가이(macg****),2020.01.16 15:15
7,"대박! 정도까진 아닌것 같고, 킬링타임용으로 볼만합니다",상품평팩트폭행(dkxl****),2020.01.16 11:10
2,나중에 재밌어지겠지 하다가 화남. 그러다가 끝나니까 허무했음,healini0823(uio0****),2020.01.15 18:56
1,러닝타임두시간중한시간이동물원가기까지설명지루하고 예고편에나오는장면이전부라보면됨 초딩조카도지루한지계속하품,로사(rosa****),2020.01.18 08:25
4,"평점알바들을 꼬집는 영화, 사람인척하는 수많은 익명알바들 웃을 포인트는 있지만 영화로의 완성도는 실망 그 자체 떡밥회수가 거의 안됨.",강환문(romp****),2020.01.15 22:46
2,다  알바들인지  진짜  너무 재미  없어서  졸림  ㅠㅠ 뻔한  스토리에  깨알재미라도  있어야 하는데  딱  한번  웃음  ...,머리야(silv****),2020.01.15 16:06
10,올~-->웃김(고롱이 하드캐리)-->따뜻 누가봐도 기분좋게 나올 수 있는 영화!! 안재홍 이런 역할 너무 좋다 ㅋㅋㅋㅋ 더 많이해주라 더,이티(test****),2020.01.15 11:16
10,ㅎㅎㅎ보기에 편안한 영화입니다 친구와 함께 봣는데 함께 같이 웃고 즐길 수 있어서 좋았어요! 올해 첫 영화인데 스타트를 잘 끊은 것같아 좋네요~~♡♡,radiogaga(00pa****),2020.01.16 14:09
6,보다가잤음ㅜ내용은 좋은거같은데 넘지루해요 웃기지도않고 감동도 별루..,sion****,2020.01.17 19:46
8,아이와 보러갔는데 좋아하네요~~편안하게 보기 좋은내용이였어요,nend****,2020.01.17 09:25
10,재밌게 봤습니다! 설 연휴 가족끼리 볼 영화로 강추!,찰랑소녀(elas****),2020.01.16 13:30
1,재미가 있지않아 ㅠ,GoChu참치(jeny****),2020.01.15 22:06
4,기대 이하 였어요ㅠㅠ!!!,rkdt****,2020.01.17 00:37
