star_score,score_reple,writer_id,write_date
10,오랜만에 잘봤습니다. 연기  대박,PurityDEK(drea****),2020.01.22 20:02
10,연기 잘 하는 배우가 모여있습니다,빛그림(namj****),2020.01.22 15:55
10,일베들 평점테러보소ㄷㄷ,hun1****,2020.01.22 15:03
10,이 영화는 평가를 할 수가 없다,정빛나(brig****),2020.01.22 21:19
10,"이 영화는 이병헌 연기의 최정점을 볼 수 있다ㄷㄷ 한 장면 한 장면 긴장감을 놓을 수 없고 진짜 잘 만든 영화라는 생각밖에는,,, 오랜만에 잘 만든 한국영화 bb",쩡(jeon****),2020.01.22 10:10
10,배우들의 연기로 이미 재미 없을수가 없었다..,파워피로에(jokw****),2020.01.22 11:58
10,오랜만에 볼만한 한국영화!이성민 배우님 박통 연기 소름돋았습니다,Joonseosa(myeo****),2020.01.22 20:29
10,이병헌 연기력 폭발함. 후반부까지 긴장감 대박임...,minmin(ssg8****),2020.01.22 10:12
10,진짜 이병헌 크라쓰가 다르다 긴장감있는 연출도 좋았음,jjom(more****),2020.01.22 10:11
10,작품으로 보고 평가좀 합시다 좌우 갈라서 싸우지 말고 좌파들만 원하는 우파들만 원하는 영화가 나오길 바라나요? 둘다 꿈깨쇼,손흥따리바리(lsj2****),2020.01.22 10:02
10,와 연기력 진짜 미쳤다 굿,chio****,2020.01.22 10:07
10,다들 연기 미쳤다 ㅠㅠㅠㅠ 엔딩 진짜 특히 꼭 봐야함,피노코(pino****),2020.01.22 10:05
10,일베와 박사모들이 죄다 몰려 와 평점 테러하고 자빠졌네.,사우스포(pana****),2020.01.22 17:45
10,완성도와 재미 모두 갖췄지만 연기가 소름 ... 이병헌 안면근육까지 열연,움치키움챠(llll****),2020.01.22 10:14
10,안중근 의사가 침략자 이토 히로부미를 사살한 날 1909년 10월 26일. 김재규 의사가 독재자 박정희를 처단한 날 1979년 10월 26일. 평행이론 소름.,도방(star****),2020.01.22 14:37
10,영화 자체는 묵직하고 포스 있는데 이병헌의 섬세한 고민 번뇌 등등까지 다 잡았음 진짜 멋드러지는 영화,노가리(shwo****),2020.01.22 10:04
10,이병헌이 이병헌했고 우민호가 우민호 했다,쥬니(vlwk****),2020.01.22 10:18
10,한국 영화에서 오랜만에 만나보는 웰메이드 정치 스릴러. 배우들의 놀라운 연기력으로 영화의 품격을 한 층 더 높인다. 차곡차곡 쌓아온 감정선을 폭발시키는 엔딩은 가히 압도적.,정명호(hanj****),2020.01.22 10:08
10,이병헌 연기 미쳤다.. 내 인생 최고의 엔딩 ㅠ,gkdlgkdl221(boyo****),2020.01.22 10:16
10,확실히 우민호 감독은 이병헌과 만나야 시너지가 생긴다,안녕하소(gjdb****),2020.01.22 09:03
10,이병헌 이희준 곽도원 다들 연기가 미쳤음 세련된 느와르로 돌아온 우민호!,스(zoof****),2020.01.22 10:19
10,"개인적으로 내부자들보다 더 깊이도 있고 세련미 넘치고 재미있게 봤다. 이병헌 존멋, 조조로 봤는데도 1도 안졸리고 시간순삭당함",하늘그림(blue****),2020.01.22 10:12
10,예상했던 것 보다 연기가 더 소름돋음 긴장감 있는 연출 음악 다 좋았고 역시 마지막 엔딩.... 연휴에 한 번 더 볼 각,shs1****,2020.01.22 10:15
10,연기는 당연히 믿고받는데 연출까지 최고일줄은 몰랐다..진짜 재밌었음,후이종(ht59****),2020.01.22 10:12
10,평점테러하지마세용?^^,litt****,2020.01.22 10:01
10,"이병헌, 이성민 압도적인 연기에 이희준도 장난이 아니다. 완벽하게 그때 그 사람들 같다.",Ssssss_(sehy****),2020.01.22 10:15
