star_score,score_reple,writer_id,write_date
6,등장인물성향이 갑자기 휙휙 바뀌고 성격에 일관성이 없고왔다갔다.너무 유치한  연출력에 손발이 오그라들고..권상우보려고했는데 너무개그프로같이 만들어놨다..탐정같은거길바랬는데..권상우만안나왔음3류..,스모도리(yawo****),2020.01.22 14:41
2,6점 정도 줄 수 있는 영화에요... 평점 너무 높아 더 낮게 줍니다..,니베아(nive****),2020.01.23 12:57
10,꼭 보세요^^재밌다 정말,says****,2020.01.23 08:57
10,정말 재미있었습니다. 시간가는줄 몰랐네요.,rokh****,2020.01.23 08:56
10,너무 너무 재미있습니다,slsi****,2020.01.23 08:23
1,알바를 너무 풀어서 조절합니다 실제 평점은 5.5에요,좋은 하루(wnsg****),2020.01.23 04:02
10,기대이상의 꿀잼입니다 히트맨,긍정훈(kwon****),2020.01.23 01:54
10,황우슬혜의 미모를 재차확인한 영화 ㅎㅎ 역시이쁨,ChaBrook(jeon****),2020.01.22 23:50
10,내나이23 처음으로 엄청웃으면서 영화봄 이렇게 웃으면서 본거처음 ㅋㅋ 근데 울면서 웃음 아역배우 덕분에 ㅋㅋ재밌어영,1012****,2020.01.22 23:17
10,,이미(79an****),2020.01.22 23:11
10,와 진짜 이건 인생영화입니다. 진짜 제가 태어나서 이렇게 재미있는 영화는 처음 봤습니다. 인물도 잘났고 노래도 좋고 스토리도 마블만큼 재밌어요. 진짜 제생각인데 이건 마블을 뛰어넘었습니다. 원애 포스터는 안챙기는데 ...,권구은(rnjs****),2020.01.22 18:48
2,평점보고 너무 기대를 해서 그런지 몰라도 너무 뜬금없고 억지 느낌이 강했다..,윤블리(mkhb****),2020.01.23 09:33
4,답답하고 유치한 침튀기는 영화!! 사람을 너무 쉽게 죽이는 영화,용쏘(hero****),2020.01.23 01:16
10,진짜 재밌어요 댓글알바아님 꼭보셈 진심임,tmtm****,2020.01.23 00:36
10,두말 필요없어요극장 보세요 제 딸이 영화보면 늘 자는데정말 크게 웃으며 너무 웃기다고 끝까지 봤네요참고로 15분 전에 보고왔음진짜 진짜 꼭 보세요황우슬혜 활약 진짜 웃겨~~ 다 발라버려,김솔이(thfl****),2020.01.22 23:32
10,이거 재미없다하면 말도안댐,taeeun23(zlgl****),2020.01.22 22:24
3,ㅡㅡㅋ 이야 기걸 돈주고봤내 진짜 발연기 어쩔  손발이 오그라든다,dkny****,2020.01.22 19:47
2,별도 아깝다 보지마세요 평점에 속았네,박주현(luna****),2020.01.22 19:14
1,아직도 저질 한국 영화를 보나 깔깔깔깔,전라왜구(seon****),2020.01.22 19:12
1,걸복동하고 동급인듯...,toyo****,2020.01.22 19:00
4,언제 재밌어지지 하다가 영화 끝났네요.. 만화장면 연출은 멋있어요,정현주(hjju****),2020.01.23 15:22
10,심하게 잔인한 장면도없고 쉴새없이 재밌네요,시은(snny****),2020.01.22 23:18
2,"감독이 초딩인지 아니면 편집이 폭망인지안타깝지만 ㅠ ㅠ권상우연기도 식상하고 허생태배우의 고함만지르는 연기, 배우들도 고생해서 찍은영화일건데여러모로 아쉬움이..",사람사는세상(namc****),2020.01.22 19:36
1,가속화되는 한국영화계의 저질화,안알랴쥼(laye****),2020.01.22 19:28
10,작품은 그사람의 인성이 스며든다지?영화 감독의 프로필 사진도 나름 재밌게 하려는컨셉같다. 관람객을 즐겁게 해주려는 감독의 노력이 고스란히 스며들었다.,간지범수(mykb****),2020.01.22 16:16
